pro	pep	rep	conf	qc1	qc2	qc3	qc4	qc5	mean	std	cov
SWI5	3	r2	medium	0.000447571	0.000826777	0.000393278	0.000374931	0.000793786	0.0005672686	0.000223745803804898	0.394426562310867
SWI6	1	r1	medium	0.024860491	0.020884682	0.021853991	0.077982939	0.023631918	0.0338428042	0.0247231683875118	0.730529545997602
SWI6	1	r2	medium	0.165736291	0.055991864	0.144350241	0.107504451	0.059610331	0.1066386356	0.0492244974554903	0.461600968340693
SWI6	2	r1	high	0.037517975	0.036176888	0.037245784	0.036759234	0.031572956	0.0358545674	0.00244729017889191	0.0682560230497136
SWI6	2	r2	high	0.045626144	0.034002683	0.038429172	0.038422262	0.038566754	0.039009403	0.00417510021807633	0.107028047008982
SWI6	3	r2	high	0.07014083	0.06848144	0.065137006	0.06785036	0.069568388	0.0682356048	0.00195040746677232	0.0285834275593952
TAF12	1	r1	high	0.11519123	0.098414066	0.097699279	0.09749846	0.097095861	0.1011797792	0.00784720178764786	0.0775570163296804
TAF12	1	r2	high	0.115593105	0.090823567	0.099377642	0.096415461	0.095060706	0.0994540962	0.00953276803834231	0.0958509342759712
TAF12	2	r1	high	0.074638941	0.068655102	0.07447457	0.061164761	0.061216994	0.0680300736	0.00669234438356353	0.0983733227000879
TOS4	1	r1	high	0.008318929	0.00777736	0.008950371	0.013393816	0.013003929	0.010288881	0.00269221863118386	0.261662918560712
TOS4	1	r2	high	0.006755501	0.011358363	0.011531007	0.011888643	0.006603463	0.0096273954	0.00269838707698373	0.280282149519249
TOS4	2	r1	high	0.007152467	0.008298176	0.007722462	0.011450162	0.012784475	0.0094815484	0.00248516292215748	0.262105177057102
TOS4	2	r2	high	0.00758944	0.006635905	0.010067009	0.009651961	0.005412047	0.0078712724	0.00197771729459921	0.25125763588098
UME6	1	r1	medium	0.002508333	0.001433505	0.002308526	0.003241761	0.002927711	0.0024839672	0.000690290544599301	0.277898413714682
UME6	1	r2	medium	0.001531251	0.001302991	0.001174622	0.001668078	0.001114666	0.0013583216	0.000235599593841543	0.173449052007671
UME6	2	r1	medium	0.019773923	0.017332713	0.019115414	0.020033901	0.018553948	0.0189619798	0.0010785185589686	0.0568779510549103
UME6	2	r2	medium	0.02308028	0.017472593	0.022127897	0.023046366	0.02585998	0.0223174232	0.00304841420379198	0.136593466748974
VPS9	1	r1	high	0.07231731	0.065267963	0.063618105	0.066888478	0.067391923	0.0670967558	0.00327223868195532	0.0487689552637852
VPS9	1	r2	high	0.099480953	0.088922335	0.091646514	0.087590386	0.087288765	0.0909857906	0.00505121171877623	0.0555164898328226
VPS9	2	r1	high	0.089167916	0.072861338	0.074559018	0.072050831	0.070748957	0.075877612	0.00755672108661081	0.0995909186837721
VPS9	2	r2	high	0.123537414	0.14374631	0.125852449	0.131849441	0.131224886	0.1312421	0.00782839305663323	0.0596484897501124
WHI5	1	r1	medium	0.013693884	0.00750104	0.004336448	0.004105599	0.011873522	0.0083020986	0.00435330631119713	0.524362154792661
WHI5	1	r2	medium	0.006224205	0.004863473	0.009817422	0.004570581	0.003920254	0.005879187	0.00235638894428902	0.400801836085332
YHP1	1	r1	low	0.007531568	0.01174694	0.012413347	0.014566484	0.016719974	0.0125956626	0.00343848457399372	0.272989574521766
YHP1	2	r1	medium	0	0	0	0	0	0	0	NaN
YHP1	2	r2	medium	0.001573735	0	0.001428852	0	0	0.0006005174	0.000823886240571962	1.37196064688877
YOX1	1	r1	high	0.000711784	0.000615784	0.00046374	0.00041962	0.000347908	0.0005117672	0.000148722704047499	0.290606166334027
YOX1	1	r2	high	0.006211153	0.001454988	0.002853519	0.001028691	0.001015071	0.0025126844	0.00219992285043244	0.875526926673498
YOX1	2	r1	medium	0.001124424	0.000769158	0	0	0	0.0003787164	0.000533573519441136	1.40889995638197
YOX1	2	r2	medium	0.000492278	0	0.000522152	0.000604016	0	0.0003236892	0.0002983044492045	0.921576775513362
YOX1	3	r2	low	0.007794175	0.005486326	0.003299193	0.004547845	0.006249816	0.005475471	0.00170094034131315	0.310647310763431
