	dl_reg_pval	dl_reg_pval_norm	jtk_per_pval	jtk_per_pval_norm	dlxjtk_score
PF3D7_1105800	0.9182389999999999	1.2570006844626969	0.07414940943921601	3.8160462030554325	110369155657101.72
PF3D7_0424300	0.619332	0.8478193018480493	0.11143167772483248	5.734751414716588	114935531397910.8
PF3D7_1353900	0.9312739999999999	1.2748446269678304	0.07414940943921601	3.8160462030554325	115136478884393.75
PF3D7_0505800	0.941818	1.2892785763175907	0.07414940943921601	3.8160462030554325	119091691150309.55
PF3D7_1331000	0.957834	1.3112032854209446	0.07414940943921601	3.8160462030554325	125271201153301.9
PF3D7_1423100	0.4342	0.5943874058863792	0.16453699804109032	8.467778656437543	127502448139466.62
PF3D7_1344800	0.9656889999999999	1.3219561943874059	0.07414940943921601	3.8160462030554325	128378513850198.28
PF3D7_1130600	0.966783	1.323453798767967	0.07414940943921601	3.8160462030554325	128815316612946.2
PF3D7_1429500	0.967859	1.3249267624914445	0.07414940943921601	3.8160462030554325	129245897876309.8
PF3D7_1116200.2	0.436338	0.5973141683778235	0.16453699804109032	8.467778656437543	129395199420728.06
PF3D7_0705100	0.072375	0.09907597535934293	1.0	51.464283153645844	132576666274311.02
PF3D7_1476400	0.9825709999999999	1.3450663928815878	0.07414940943921601	3.8160462030554325	135229769612646.23
PF3D7_0916600	0.9893	1.3542778918548941	0.07414940943921601	3.8160462030554325	138027145318101.44
PF3D7_1360200	0.993215	1.359637234770705	0.07414940943921601	3.8160462030554325	139672300534236.48
PF3D7_0216200	0.993548	1.360093086926763	0.07414940943921601	3.8160462030554325	139812833414727.23
PF3D7_1202700	0.9957299999999999	1.3630800821355238	0.07414940943921601	3.8160462030554325	140736015701882.97
PF3D7_0408300	0.9963069999999999	1.3638699520876114	0.07414940943921601	3.8160462030554325	140980816150851.03
PF3D7_1020400	0.9963690000000001	1.3639548254620124	0.07414940943921601	3.8160462030554325	141007137409515.38
PF3D7_1315700	0.996392	1.3639863107460646	0.07414940943921601	3.8160462030554325	141016902580441.2
PF3D7_0906910	0.99649	1.3641204654346342	0.07414940943921601	3.8160462030554325	141058515753093.38
PF3D7_0703900	0.9965709999999999	1.3642313483915127	0.07414940943921601	3.8160462030554325	141092916493046.72
PF3D7_0522300	0.9980610000000001	1.3662710472279262	0.07414940943921601	3.8160462030554325	141726718334350.88
PF3D7_1032900	0.9984350000000001	1.36678302532512	0.07414940943921601	3.8160462030554325	141886104300370.9
PF3D7_0920800	0.998668	1.3671019849418211	0.07414940943921601	3.8160462030554325	141985461292149.06
PF3D7_1200900	0.998743	1.3672046543463383	0.07414940943921601	3.8160462030554325	142017453021787.28
PF3D7_0727200	0.998949	1.3674866529774128	0.07414940943921601	3.8160462030554325	142105348364846.97
PF3D7_1119300	0.999031	1.3675989048596853	0.07414940943921601	3.8160462030554325	142140345920154.75
